               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025072,            0.015805,            0.013704,              0.7874,             0.91495,             0.91835,             0.59009,            0.016556,           0.0073013,           0.0063887,           0.0074987,           0.0074987,           0.0074987
                  36,            0.025816,            0.016293,            0.012794,              0.8334,             0.93956,             0.91918,             0.61211,            0.017907,           0.0071078,           0.0056699,           0.0074695,           0.0074695,           0.0074695
                  37,            0.024754,            0.015765,            0.012233,               0.843,              0.8664,             0.91739,             0.60807,            0.016936,           0.0070867,           0.0054037,           0.0074396,           0.0074396,           0.0074396
                  38,            0.025512,            0.015602,            0.012259,              0.8858,             0.89589,             0.95422,             0.64338,            0.016797,           0.0071006,           0.0046075,           0.0074089,           0.0074089,           0.0074089
                  39,            0.025425,            0.015892,            0.012076,             0.83823,             0.84551,             0.92609,             0.61161,             0.01541,           0.0070103,           0.0055053,           0.0073775,           0.0073775,           0.0073775
                  40,            0.025054,            0.015854,             0.01173,             0.85388,             0.91129,             0.95405,             0.62979,            0.015842,           0.0067905,           0.0059493,           0.0073453,           0.0073453,           0.0073453
                  41,             0.02501,            0.015429,            0.011786,             0.88961,             0.89762,             0.97136,             0.65015,            0.016878,           0.0070761,           0.0048954,           0.0073125,           0.0073125,           0.0073125
                  42,            0.024523,            0.015508,            0.011304,             0.88235,             0.92251,             0.96617,             0.66407,            0.015457,           0.0067611,           0.0049682,           0.0072789,           0.0072789,           0.0072789
                  43,            0.025054,             0.01575,            0.011575,             0.82674,             0.91648,             0.93987,             0.63698,            0.016249,           0.0068908,            0.004645,           0.0072446,           0.0072446,           0.0072446
                  44,            0.024523,            0.015632,            0.012077,               0.849,             0.89481,             0.92122,             0.61908,            0.016732,           0.0069724,           0.0068236,           0.0072095,           0.0072095,           0.0072095
                  45,            0.023701,            0.014844,            0.010815,             0.92221,             0.90886,              0.9631,              0.6632,             0.01561,           0.0067486,           0.0037306,           0.0071738,           0.0071738,           0.0071738
                  46,            0.024571,            0.015459,           0.0098381,             0.84154,             0.90835,             0.93902,             0.65938,            0.015895,            0.006812,           0.0044631,           0.0071375,           0.0071375,           0.0071375
                  47,            0.024118,            0.015529,           0.0097037,             0.89044,             0.92143,             0.95761,             0.68738,            0.014988,           0.0066495,           0.0040255,           0.0071004,           0.0071004,           0.0071004
                  48,            0.023653,            0.015335,           0.0098794,             0.87699,             0.93765,             0.94604,             0.66348,             0.01605,           0.0068337,           0.0042549,           0.0070627,           0.0070627,           0.0070627
                  49,            0.023557,            0.015332,           0.0095149,             0.88284,             0.89337,             0.95513,             0.65736,            0.014765,           0.0067585,            0.004668,           0.0070243,           0.0070243,           0.0070243
                  50,            0.023506,            0.015453,            0.010477,             0.86139,             0.92631,             0.95549,             0.67745,            0.014805,           0.0067231,           0.0038234,           0.0069853,           0.0069853,           0.0069853
                  51,            0.023975,             0.01494,           0.0099629,              0.9149,             0.87826,             0.95473,             0.66634,             0.01509,           0.0067797,           0.0045568,           0.0069456,           0.0069456,           0.0069456
                  52,            0.023647,            0.015634,           0.0095588,             0.87425,             0.92895,             0.95581,             0.66743,            0.014924,           0.0065759,           0.0049501,           0.0069053,           0.0069053,           0.0069053
                  53,             0.02299,             0.01501,            0.009909,             0.89582,             0.95282,             0.98158,              0.6755,            0.015383,           0.0066344,           0.0037805,           0.0068644,           0.0068644,           0.0068644
                  54,            0.023644,            0.015266,           0.0098057,             0.87456,             0.91266,              0.9474,             0.68291,            0.015064,           0.0065444,           0.0045855,           0.0068228,           0.0068228,           0.0068228
                  55,            0.022828,            0.014853,           0.0087315,             0.87086,             0.93253,             0.97284,             0.66403,            0.015638,           0.0065464,           0.0044583,           0.0067807,           0.0067807,           0.0067807
                  56,            0.023288,            0.015089,           0.0089664,             0.86029,             0.93409,             0.95744,             0.68387,            0.014801,           0.0067099,           0.0044757,            0.006738,            0.006738,            0.006738
