               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 155,            0.014856,            0.011168,           0.0023215,             0.96497,             0.97929,             0.98449,             0.83215,            0.010945,            0.005217,           0.0008027,           0.0016996,           0.0016996,           0.0016996
                 156,            0.014851,            0.011057,            0.002401,             0.97798,             0.98933,              0.9944,             0.82623,            0.011034,           0.0051307,          0.00085256,           0.0016625,           0.0016625,           0.0016625
                 157,            0.014794,            0.010604,           0.0024727,             0.96404,             0.98497,             0.98403,              0.8261,             0.01094,           0.0051504,          0.00085948,           0.0016262,           0.0016262,           0.0016262
                 158,            0.014803,            0.011098,           0.0023091,             0.96086,             0.97783,             0.98412,              0.8214,            0.010825,           0.0052024,            0.001006,           0.0015905,           0.0015905,           0.0015905
                 159,            0.014965,            0.011344,            0.002673,             0.95283,             0.97559,             0.98286,             0.82705,            0.010955,           0.0051578,           0.0007689,           0.0015554,           0.0015554,           0.0015554
                 160,            0.014937,            0.011075,           0.0023339,             0.95919,             0.95488,             0.97482,             0.82098,             0.01101,           0.0051825,          0.00064752,           0.0015211,           0.0015211,           0.0015211
                 161,             0.01458,             0.01124,           0.0022822,             0.95197,             0.95991,             0.97984,             0.83128,            0.011011,           0.0051626,          0.00088699,           0.0014875,           0.0014875,           0.0014875
                 162,            0.014515,            0.011034,           0.0023279,             0.95765,             0.97213,             0.98256,             0.82294,            0.011039,           0.0052283,          0.00074331,           0.0014547,           0.0014547,           0.0014547
                 163,            0.014477,            0.011046,           0.0020713,             0.96537,             0.97887,             0.98435,              0.8228,            0.010874,           0.0052084,          0.00082887,           0.0014225,           0.0014225,           0.0014225
                 164,            0.014671,            0.010945,           0.0022385,             0.96137,             0.98042,             0.98429,             0.83045,            0.010813,           0.0051898,          0.00083719,           0.0013911,           0.0013911,           0.0013911
                 165,            0.014613,             0.01126,           0.0022059,             0.97128,             0.98154,             0.98286,             0.82975,            0.010932,           0.0051866,          0.00065754,           0.0013604,           0.0013604,           0.0013604
                 166,            0.014524,             0.01085,           0.0021431,             0.97114,             0.99237,             0.99486,             0.82703,            0.010979,           0.0052346,          0.00071262,           0.0013305,           0.0013305,           0.0013305
                 167,            0.014255,            0.011193,           0.0021405,             0.95602,             0.97999,             0.97274,             0.82531,            0.010793,           0.0052086,          0.00066398,           0.0013013,           0.0013013,           0.0013013
                 168,             0.01428,            0.010652,           0.0021279,             0.96359,             0.97941,             0.97479,             0.82865,            0.010869,           0.0052607,          0.00050561,           0.0012729,           0.0012729,           0.0012729
                 169,            0.014443,            0.011115,           0.0021967,             0.96489,             0.98505,             0.98465,             0.82946,            0.010537,           0.0051875,          0.00054795,           0.0012453,           0.0012453,           0.0012453
                 170,            0.014328,            0.010833,           0.0019848,             0.96537,             0.98137,             0.98464,             0.83284,            0.010752,           0.0051753,          0.00059142,           0.0012184,           0.0012184,           0.0012184
                 171,            0.014316,            0.010642,           0.0020272,             0.96636,             0.98476,             0.98291,             0.83109,            0.010849,           0.0051829,          0.00057305,           0.0011924,           0.0011924,           0.0011924
                 172,            0.014349,            0.010978,           0.0018971,              0.9657,             0.98239,             0.98107,             0.82591,            0.010884,           0.0051802,          0.00061286,           0.0011671,           0.0011671,           0.0011671
                 173,            0.014318,            0.011119,           0.0022416,             0.97008,             0.97498,              0.9826,             0.82471,            0.010759,           0.0051659,          0.00070654,           0.0011426,           0.0011426,           0.0011426
                 174,            0.014424,             0.01098,           0.0022171,             0.96834,              0.9855,             0.98276,             0.83649,            0.010483,           0.0051739,          0.00062666,           0.0011189,           0.0011189,           0.0011189
                 175,            0.014107,            0.010922,           0.0021165,             0.95787,             0.96712,             0.97229,             0.83512,            0.010556,           0.0051483,          0.00085598,           0.0010961,           0.0010961,           0.0010961
                 176,            0.013931,            0.010585,           0.0020754,             0.96196,             0.98244,             0.98447,             0.83418,            0.010828,           0.0052047,          0.00076244,            0.001074,            0.001074,            0.001074
                 177,            0.013839,            0.010821,            0.001896,             0.97535,             0.98582,               0.995,             0.83688,            0.010891,           0.0052384,          0.00061874,           0.0010528,           0.0010528,           0.0010528
                 178,            0.014118,            0.010708,           0.0018883,             0.96885,             0.97505,             0.98295,             0.83279,            0.010636,           0.0051499,           0.0005639,           0.0010324,           0.0010324,           0.0010324
                 179,            0.014103,            0.010983,           0.0021753,             0.97288,             0.96995,             0.98296,             0.83539,            0.010725,            0.005146,          0.00051029,           0.0010128,           0.0010128,           0.0010128
                 180,             0.01397,            0.010681,           0.0020152,             0.97027,              0.9789,             0.98297,             0.83372,            0.010623,           0.0051457,          0.00043218,          0.00099409,          0.00099409,          0.00099409
                 181,            0.013833,            0.010944,           0.0018511,             0.96671,             0.96628,             0.97472,             0.83419,            0.010679,           0.0051679,          0.00046608,           0.0009762,           0.0009762,           0.0009762
                 182,            0.014102,             0.01055,           0.0019474,             0.96598,             0.98169,             0.98298,                0.83,            0.010804,           0.0051283,          0.00049196,          0.00095915,          0.00095915,          0.00095915
                 183,            0.013989,            0.010446,           0.0020606,             0.96799,             0.98364,             0.98299,             0.83852,            0.010652,           0.0051574,          0.00057943,          0.00094294,          0.00094294,          0.00094294
                 184,            0.013887,              0.0103,           0.0017715,             0.96953,             0.98012,             0.98301,              0.8321,            0.010682,           0.0051298,          0.00046264,          0.00092759,          0.00092759,          0.00092759
                 185,             0.01362,            0.010685,           0.0019471,             0.96906,             0.97807,             0.98121,             0.83393,            0.010729,           0.0051479,          0.00057787,           0.0009131,           0.0009131,           0.0009131
                 186,            0.013755,            0.010568,           0.0017002,             0.96338,             0.97642,             0.98128,             0.83537,             0.01087,           0.0051653,          0.00048981,          0.00089947,          0.00089947,          0.00089947
                 187,            0.013746,             0.01056,            0.001746,               0.962,             0.97875,             0.98129,              0.8329,            0.010779,           0.0051625,          0.00041753,           0.0008867,           0.0008867,           0.0008867
                 188,            0.013886,            0.010581,            0.001751,             0.95999,              0.9715,              0.9748,             0.83827,            0.010803,           0.0051232,          0.00045538,           0.0008748,           0.0008748,           0.0008748
                 189,             0.01378,            0.010576,           0.0019968,             0.97013,             0.97729,             0.98126,               0.838,            0.010646,           0.0051404,          0.00057106,          0.00086377,          0.00086377,          0.00086377
                 190,            0.013755,             0.01048,            0.001896,             0.97245,             0.98032,             0.98608,              0.8404,            0.010674,           0.0051371,          0.00046677,          0.00085361,          0.00085361,          0.00085361
                 191,            0.013612,            0.010526,            0.001869,             0.96874,             0.97716,              0.9813,             0.83846,            0.010757,           0.0051706,          0.00045455,          0.00084432,          0.00084432,          0.00084432
                 192,            0.013626,            0.010538,            0.001678,             0.98045,             0.98492,               0.995,             0.84033,            0.010554,            0.005135,          0.00040524,          0.00083591,          0.00083591,          0.00083591
                 193,            0.013682,            0.010243,           0.0017243,             0.97803,             0.98358,               0.995,             0.83921,            0.010872,           0.0051525,          0.00052631,          0.00082839,          0.00082839,          0.00082839
                 194,             0.01363,            0.010471,           0.0019249,             0.97096,               0.973,             0.99355,             0.84099,            0.010682,           0.0051059,          0.00049878,          0.00082174,          0.00082174,          0.00082174
                 195,            0.013694,            0.010631,           0.0017487,              0.9593,             0.97085,              0.9793,             0.83529,            0.010579,           0.0051192,          0.00048684,          0.00081598,          0.00081598,          0.00081598
                 196,            0.013869,             0.01062,           0.0016838,              0.9616,             0.98784,             0.99355,             0.84682,            0.010463,           0.0051341,           0.0005874,           0.0008111,           0.0008111,           0.0008111
                 197,            0.013426,            0.010604,           0.0017343,             0.96209,             0.98773,             0.99355,              0.8424,            0.010637,           0.0051193,           0.0005883,           0.0008071,           0.0008071,           0.0008071
                 198,            0.013703,            0.010294,            0.001797,             0.97718,             0.98408,               0.995,             0.84962,            0.010361,           0.0051306,          0.00049012,            0.000804,            0.000804,            0.000804
                 199,             0.01346,            0.010486,           0.0015579,               0.966,             0.98284,             0.98794,             0.84265,            0.010748,            0.005144,          0.00041816,          0.00080178,          0.00080178,          0.00080178
